iter	Logloss
0	0.653278962
1	0.6177696927
2	0.5856477002
3	0.5577942362
4	0.5319124658
5	0.5104409665
6	0.4894783643
7	0.4697496577
8	0.4547636298
9	0.4416652875
10	0.4270196641
11	0.4150337834
12	0.4028747325
13	0.3907790125
14	0.382285383
15	0.3724969355
16	0.3653801177
17	0.3573324069
18	0.3506301129
19	0.3445869529
20	0.3387562051
21	0.3333230618
22	0.3283628347
23	0.3243721881
24	0.3199975366
25	0.3161858528
26	0.3108992961
27	0.3072137491
28	0.3040105994
29	0.3010454917
30	0.2976314162
31	0.2950244048
32	0.2923829545
33	0.289776506
34	0.2873128217
35	0.2851274868
36	0.2830440226
37	0.2806294874
38	0.2780079954
39	0.2767569361
40	0.2747938905
41	0.2728144521
42	0.2705342315
43	0.2685217538
44	0.2669576987
45	0.2658102609
46	0.2648055396
47	0.2627595173
48	0.2617419787
49	0.2608165259
50	0.2591557225
51	0.2579119356
52	0.2563193487
53	0.2554327011
54	0.2544328483
55	0.2536463815
56	0.2528605135
57	0.2517046788
58	0.2502700188
59	0.2485965037
60	0.2476321123
61	0.2470400127
62	0.246548676
63	0.2457573662
64	0.245290279
65	0.2445476009
66	0.2440526047
67	0.2436480419
68	0.2431668747
69	0.2424813466
70	0.242024147
71	0.2415049104
72	0.2410779599
73	0.2403585719
74	0.2398128132
75	0.2392360326
76	0.238746521
77	0.2383981999
78	0.2381668848
79	0.2377337478
80	0.2368052725
81	0.2358340592
82	0.2350047324
83	0.2348224754
84	0.2345551241
85	0.2342123936
86	0.2337114696
87	0.2332829769
88	0.2325203568
89	0.2313742835
90	0.2310585116
91	0.2305729521
92	0.2301709202
93	0.2299452468
94	0.2295539079
95	0.2292702671
96	0.2283646297
97	0.2278083647
98	0.2271737146
99	0.2263765011
100	0.2260880451
101	0.2258429359
102	0.225487238
103	0.2252748832
104	0.224919354
105	0.2247839345
106	0.2243755048
107	0.2240015859
108	0.2233933455
109	0.2232677805
110	0.2229406142
111	0.2227723045
112	0.2220145135
113	0.2218089042
114	0.2216619742
115	0.2214126915
116	0.2213003235
117	0.2208608504
118	0.2206528594
119	0.2205440733
120	0.2204032447
121	0.2202109953
122	0.2199523759
123	0.2196190987
124	0.2194506803
125	0.2190799017
126	0.2189140299
127	0.2186781299
128	0.2185199024
129	0.2183625699
130	0.217939424
131	0.2173912732
132	0.2172733204
133	0.2171337778
134	0.2168393271
135	0.2167105526
136	0.2164692339
137	0.2163840362
138	0.2161300033
139	0.2159877261
140	0.2158801291
141	0.2158084093
142	0.2156720263
143	0.2152851536
144	0.2152138713
145	0.2150815434
146	0.214991017
147	0.2146108995
148	0.2143081199
149	0.2139911885
150	0.2136311111
151	0.2135383607
152	0.2134554953
153	0.2133113668
154	0.213190402
155	0.2130318936
156	0.2129109497
157	0.2128532699
158	0.2127021944
159	0.2125943844
160	0.212239147
161	0.2121222809
162	0.2118679093
163	0.2115518067
164	0.2114908655
165	0.2113957573
166	0.2112906633
167	0.21122994
168	0.2111671239
169	0.2110565693
170	0.2109011067
171	0.2108517217
172	0.2107451672
173	0.2104928208
174	0.2103599367
175	0.2100463508
176	0.2099349603
177	0.2097556368
178	0.2096091959
179	0.2095595052
180	0.2095108079
181	0.2094586468
182	0.2093748783
183	0.2093016427
184	0.2091224223
185	0.208592293
186	0.2084843596
187	0.2084234816
188	0.2082383617
189	0.2081136512
190	0.2079246072
191	0.2077521666
192	0.2076557561
193	0.2074858673
194	0.2074370325
195	0.2073635183
196	0.2073083692
197	0.2072217621
198	0.2071099619
199	0.2070490358
200	0.2069790836
201	0.2068030364
202	0.2066463288
203	0.2065018041
204	0.20615662
205	0.2060504589
206	0.2059734743
207	0.2055585661
208	0.2051857185
209	0.2050915894
210	0.2048798874
211	0.204759187
212	0.2046796133
213	0.2046540843
214	0.2045707943
215	0.2045007477
216	0.2044074613
217	0.2042936163
218	0.2041680138
219	0.2040687453
220	0.2040139748
221	0.2039248933
222	0.2038210542
223	0.203769777
224	0.2035925358
225	0.203489869
226	0.2034427406
227	0.2032598188
228	0.2031170942
229	0.2030700758
230	0.2029625282
231	0.2028900145
232	0.2025353243
233	0.2024291871
234	0.2023231632
235	0.2021613894
236	0.2021112341
237	0.2020264172
238	0.2019579234
239	0.2018841272
240	0.2017729037
241	0.2016601811
242	0.2014703869
243	0.2013470917
244	0.201269606
245	0.2011810245
246	0.2010780203
247	0.2010159707
248	0.2009353891
249	0.2007009398
250	0.2005826667
251	0.2004825721
252	0.2003243349
253	0.2001474776
254	0.2000496818
255	0.1999314338
256	0.1999028689
257	0.1997973041
258	0.1996889505
259	0.1995306291
260	0.1992044443
261	0.1990848357
262	0.1990128594
263	0.1988100655
264	0.1987187607
265	0.1986722528
266	0.1985785812
267	0.1984483018
268	0.1982931855
269	0.1981869281
270	0.1980595444
271	0.1979901866
272	0.1978638615
273	0.1977795654
274	0.1976442977
275	0.1975562543
276	0.1974264872
277	0.1973220397
278	0.1971614298
279	0.1970058905
280	0.1969339251
281	0.1967807102
282	0.1966297192
283	0.1964871243
284	0.1963820426
285	0.1962693224
286	0.1962188144
287	0.1961500096
288	0.1959935068
289	0.1958566699
290	0.1957103441
291	0.1956115332
292	0.1954951588
293	0.1953821937
294	0.1951534721
295	0.1950080012
296	0.1949044873
297	0.1947914602
298	0.1946857498
299	0.1945645963
300	0.1945081875
301	0.1944221761
302	0.1942898239
303	0.1941982272
304	0.1941724084
305	0.1940999994
306	0.194055662
307	0.1939588994
308	0.1939039059
309	0.1938268348
310	0.193719345
311	0.1936385398
312	0.1935053804
313	0.1933659276
314	0.1932109538
315	0.193146646
316	0.1930214317
317	0.1929006861
318	0.1928353551
319	0.1927515113
320	0.1926907307
321	0.1925826475
322	0.1924974323
323	0.1923755433
324	0.1922750695
325	0.1921612456
326	0.1920294201
327	0.1919344348
328	0.1918186462
329	0.1916677348
330	0.1915704705
331	0.1914861321
332	0.1913716402
333	0.1911829939
334	0.1909961225
335	0.1908937469
336	0.1908410435
337	0.1907469971
338	0.1906388903
339	0.1904705435
340	0.190354383
341	0.190266545
342	0.1901342273
343	0.1900272164
